List
bmewburn.vscode-intelephense-client
bradlc.vscode-tailwindcss
chrmarti.regex
dbaeumer.vscode-eslint
DivyanshuAgrawal.competitive-programming-helper
dotenv.dotenv-vscode
dsznajder.es7-react-js-snippets
eamodio.gitlens
ecmel.vscode-html-css
esbenp.prettier-vscode
formulahendry.code-runner
glenn2223.live-sass
golang.go
GrapeCity.gc-excelviewer
jevakallio.vscode-live-frame
jock.svg
MeshIntelligentTechnologiesInc.pieces-vscode
mkxml.vscode-filesize
ms-azuretools.vscode-docker
ms-python.autopep8
ms-python.python
ms-vscode.cpptools
naumovs.color-highlight
oderwat.indent-rainbow
PKief.material-icon-theme
Postman.postman-for-vscode
pranaygp.vscode-css-peek
quicktype.quicktype
redhat.java
ritwickdey.LiveServer
tooltitudeteam.tooltitude
usernamehw.errorlens
VisualStudioExptTeam.intellicode-api-usage-examples
VisualStudioExptTeam.vscodeintellicode
wayou.vscode-todo-highlight
wix.vscode-import-cost
